Date,Product,Quantity_Sold,Inventory_Level,Price,Month
2023-10-07,Power Bank Ultra 10000mAh,7,182,20,10
2023-12-15,Desk Fan CoolBreeze,16,143,60,12
2023-10-29,Smartphone X1,3,74,30,10
2023-06-30,Laptop Charger Type-C,7,30,40,6
2023-04-05,Power Bank Ultra 10000mAh,6,13,40,4
2023-04-09,LED Desk Lamp Pro,16,140,20,4
2023-07-07,Tablet Stand Adjustable,8,122,50,7
2023-04-26,Power Bank Ultra 10000mAh,6,39,50,4
2023-07-10,Bluetooth Speaker Mini,10,40,30,7
2023-09-10,USB-C Hub 6-in-1,16,171,30,9
2023-06-10,LED Desk Lamp Pro,11,29,25,6
2023-09-13,Power Bank Ultra 10000mAh,13,63,50,9
2023-11-19,LED Desk Lamp Pro,6,135,30,11
2023-05-08,LED Desk Lamp Pro,1,162,40,5
2023-01-18,LED Desk Lamp Pro,19,24,80,1
2023-10-08,Tablet Stand Adjustable,12,175,150,10
2023-08-11,Tablet Stand Adjustable,6,160,50,8
2023-02-23,Laptop Charger Type-C,18,189,25,2
2023-02-27,Desk Fan CoolBreeze,13,194,150,2
2023-11-19,Bluetooth Speaker Mini,7,66,35,11
2023-12-26,USB-C Hub 6-in-1,13,88,80,12
2023-06-23,Laptop Charger Type-C,8,189,60,6
2023-10-07,USB-C Hub 6-in-1,17,172,50,10
2023-04-24,Desk Fan CoolBreeze,9,23,60,4
2023-10-15,Smartphone X1,13,100,25,10
2023-12-08,Desk Fan CoolBreeze,2,23,50,12
2023-05-31,Bluetooth Speaker Mini,4,108,25,5
2023-05-07,Desk Fan CoolBreeze,2,42,15,5
2023-06-04,Laptop Charger Type-C,4,189,25,6
2023-09-30,Smartwatch Series 5,18,10,30,9
2023-04-14,LED Desk Lamp Pro,5,43,30,4
2023-10-26,Wireless Earphone Pro,19,28,60,10
2023-09-03,Desk Fan CoolBreeze,10,161,15,9
2023-06-25,Laptop Charger Type-C,18,13,25,6
2023-02-08,Bluetooth Speaker Mini,10,173,35,2
2023-06-19,Wireless Earphone Pro,5,86,60,6
2023-09-04,Tablet Stand Adjustable,17,67,150,9
2023-01-26,Wireless Earphone Pro,13,169,30,1
2023-12-21,Smartphone X1,17,146,150,12
2023-11-02,Wireless Earphone Pro,9,112,150,11
2023-01-13,Smartphone X1,12,76,15,1
2023-11-12,LED Desk Lamp Pro,14,125,60,11
2023-11-09,LED Desk Lamp Pro,14,157,40,11
2023-02-05,Smartwatch Series 5,8,129,60,2
2023-06-22,USB-C Hub 6-in-1,5,199,40,6
2023-01-20,Wireless Earphone Pro,19,195,25,1
2023-11-17,USB-C Hub 6-in-1,14,31,40,11
2023-09-21,Desk Fan CoolBreeze,9,121,50,9
2023-05-22,LED Desk Lamp Pro,7,84,25,5
2023-05-23,Laptop Charger Type-C,8,185,40,5
2023-04-02,Desk Fan CoolBreeze,14,145,35,4
2023-12-20,Wireless Earphone Pro,14,152,150,12
2023-11-18,LED Desk Lamp Pro,11,41,25,11
2023-10-15,Smartphone X1,14,190,150,10
2023-08-03,Tablet Stand Adjustable,8,76,20,8
2023-12-08,USB-C Hub 6-in-1,3,13,60,12
2023-02-20,USB-C Hub 6-in-1,18,39,40,2
2023-06-02,Smartphone X1,3,22,150,6
2023-07-05,LED Desk Lamp Pro,13,30,40,7
2023-03-04,Power Bank Ultra 10000mAh,12,50,150,3
2023-07-09,Tablet Stand Adjustable,15,130,35,7
2023-05-05,Power Bank Ultra 10000mAh,18,28,80,5
2023-05-30,Wireless Earphone Pro,5,57,35,5
2023-11-10,Bluetooth Speaker Mini,7,95,30,11
2023-02-27,Laptop Charger Type-C,11,72,40,2
2023-12-08,Power Bank Ultra 10000mAh,11,157,35,12
2023-11-01,Power Bank Ultra 10000mAh,15,46,50,11
2023-06-29,Laptop Charger Type-C,10,40,40,6
2023-06-19,Desk Fan CoolBreeze,15,83,15,6
2023-11-22,LED Desk Lamp Pro,13,155,60,11
2023-09-28,Smartphone X1,14,116,60,9
2023-02-23,Smartwatch Series 5,17,112,30,2
2023-04-11,Smartphone X1,13,119,50,4
2023-09-21,Smartphone X1,10,29,30,9
2023-02-22,USB-C Hub 6-in-1,1,148,25,2
2023-03-01,Tablet Stand Adjustable,1,95,40,3
2023-04-18,Power Bank Ultra 10000mAh,15,53,50,4
2023-01-05,Power Bank Ultra 10000mAh,16,91,20,1
2023-04-13,Smartphone X1,12,73,150,4
2023-07-15,Desk Fan CoolBreeze,6,131,15,7
2023-09-19,LED Desk Lamp Pro,6,171,40,9
2023-12-31,Smartphone X1,12,96,15,12
2023-12-16,Power Bank Ultra 10000mAh,15,74,50,12
2023-02-16,LED Desk Lamp Pro,4,64,150,2
2023-12-21,LED Desk Lamp Pro,4,83,30,12
2023-11-07,Laptop Charger Type-C,2,126,40,11
2023-11-04,Smartphone X1,12,138,150,11
2023-05-24,Smartphone X1,7,175,15,5
2023-09-26,Tablet Stand Adjustable,9,146,80,9
2023-05-04,Smartwatch Series 5,9,104,50,5
2023-04-16,Smartphone X1,8,154,50,4
2023-06-07,Tablet Stand Adjustable,14,108,15,6
2023-05-27,Smartphone X1,1,121,15,5
2023-05-25,Desk Fan CoolBreeze,12,61,25,5
2023-04-30,Wireless Earphone Pro,2,155,30,4
2023-11-15,Smartphone X1,13,42,15,11
2023-10-02,Tablet Stand Adjustable,4,13,35,10
2023-04-02,Smartwatch Series 5,18,96,60,4
2023-02-27,LED Desk Lamp Pro,19,84,60,2
2023-12-12,Bluetooth Speaker Mini,16,189,40,12
2023-08-17,Wireless Earphone Pro,14,18,20,8
2023-04-27,USB-C Hub 6-in-1,8,73,40,4
2023-11-14,Wireless Earphone Pro,12,39,25,11
2023-10-06,LED Desk Lamp Pro,9,145,150,10
2023-05-07,Smartwatch Series 5,6,142,20,5
2023-05-09,Bluetooth Speaker Mini,18,85,150,5
2023-02-27,Smartphone X1,2,138,60,2
2023-05-02,Laptop Charger Type-C,8,24,60,5
2023-01-01,Desk Fan CoolBreeze,14,98,60,1
2023-08-27,Desk Fan CoolBreeze,6,175,15,8
2023-10-17,Power Bank Ultra 10000mAh,10,179,25,10
2023-04-06,Power Bank Ultra 10000mAh,8,137,35,4
2023-05-06,Desk Fan CoolBreeze,17,183,40,5
2023-04-28,LED Desk Lamp Pro,12,190,150,4
2023-02-17,Smartphone X1,17,35,80,2
2023-03-30,Laptop Charger Type-C,13,70,40,3
2023-08-25,Wireless Earphone Pro,19,132,50,8
2023-09-29,LED Desk Lamp Pro,12,76,30,9
2023-07-08,Smartphone X1,16,191,20,7
2023-07-11,Power Bank Ultra 10000mAh,5,159,150,7
2023-03-10,Desk Fan CoolBreeze,16,35,25,3
2023-10-05,Smartphone X1,6,92,60,10
2023-12-15,Laptop Charger Type-C,11,117,50,12
2023-09-04,Laptop Charger Type-C,17,120,30,9
2023-03-17,Wireless Earphone Pro,14,69,150,3
2023-06-03,Smartwatch Series 5,6,48,35,6
2023-05-24,Bluetooth Speaker Mini,11,132,60,5
2023-03-27,Power Bank Ultra 10000mAh,12,45,150,3
2023-07-04,Tablet Stand Adjustable,13,30,80,7
2023-10-12,Desk Fan CoolBreeze,4,178,80,10
2023-08-08,Desk Fan CoolBreeze,7,127,25,8
2023-03-10,Power Bank Ultra 10000mAh,2,57,80,3
2023-02-16,Smartphone X1,6,35,35,2
2023-04-04,Wireless Earphone Pro,6,45,25,4
2023-08-26,Smartwatch Series 5,18,161,20,8
2023-07-23,Laptop Charger Type-C,8,137,35,7
2023-08-06,USB-C Hub 6-in-1,8,158,25,8
2023-12-07,Smartphone X1,8,155,35,12
2023-02-08,Smartphone X1,8,24,80,2
2023-04-10,Smartwatch Series 5,1,88,20,4
2023-10-16,USB-C Hub 6-in-1,2,143,35,10
2023-09-11,Power Bank Ultra 10000mAh,12,180,20,9
2023-08-10,Tablet Stand Adjustable,15,168,30,8
2023-12-23,Wireless Earphone Pro,4,37,35,12
2023-01-23,LED Desk Lamp Pro,3,145,40,1
2023-09-07,LED Desk Lamp Pro,14,166,60,9
2023-01-10,Wireless Earphone Pro,8,158,80,1
2023-09-03,Power Bank Ultra 10000mAh,13,129,150,9
2023-11-21,Laptop Charger Type-C,19,97,20,11
2023-04-10,Power Bank Ultra 10000mAh,5,195,80,4
2023-10-17,USB-C Hub 6-in-1,13,197,50,10
2023-06-29,Desk Fan CoolBreeze,1,187,40,6
2023-08-11,USB-C Hub 6-in-1,16,40,80,8
2023-09-07,Desk Fan CoolBreeze,2,56,60,9
2023-05-27,Smartwatch Series 5,7,43,40,5
2023-04-06,Power Bank Ultra 10000mAh,6,11,60,4
2023-09-14,USB-C Hub 6-in-1,5,115,80,9
2023-11-21,Smartwatch Series 5,4,103,40,11
2023-01-04,USB-C Hub 6-in-1,2,81,150,1
2023-01-16,Wireless Earphone Pro,10,61,150,1
2023-10-07,Smartphone X1,5,144,60,10
2023-12-02,LED Desk Lamp Pro,18,156,60,12
2023-09-04,Power Bank Ultra 10000mAh,10,99,30,9
2023-09-15,LED Desk Lamp Pro,15,101,150,9
2023-06-09,LED Desk Lamp Pro,9,152,150,6
2023-12-06,Desk Fan CoolBreeze,11,87,20,12
2023-06-01,USB-C Hub 6-in-1,17,185,25,6
2023-06-27,Tablet Stand Adjustable,9,134,35,6
